"","isocntry","trans_name","female","age","religion","marital_status","personal_satis","ideology","contact_lgbti","social_class","occupation"
"31","BE","1","1",17,"Christians","Single","Not satisfied",7,"Contact","Middle class","Student"
"32","BE","0","1",54,"Christians","Married","Satisfied",5,"No contact","Working class","Employed"
"33","BE","1","0",20,"Not religious","Single","Satisfied",5,"Contact","Middle class","Student"
"34","BE","1","1",19,"Not religious","Single","Satisfied",2,"Contact","Middle class","Student"
"35","BE","1","0",23,"Not religious","Single","Satisfied",4,"Contact","Middle class","Student"
"36","BE","0","0",45,"Christians","Married","Satisfied",5,"No contact","Working class","Employed"
"37","BE","0","0",57,"Orthodox Christian","Married","Satisfied",5,"Contact","Working class","Employed"
"38","BE","0","1",34,"Christians","Married","Satisfied",5,"Contact","Working class","Unemployed"
"39","BE","1","0",55,"Christians","Single","Satisfied",5,"Contact","Working class","Employed"
"40","BE","0","1",46,"Christians","Single","Not satisfied",7,"Contact","Working class","Unemployed"
"41","BE","0","1",42,"Christians","Married","Satisfied",5,"No contact","Working class","Employed"
"42","BE","0","1",30,"Muslims","Single","Satisfied",5,"Contact","Working class","Employed"
"43","BE","1","1",42,"Christians","Married","Satisfied",5,"Contact","Working class","Employed"
"44","BE","0","1",38,"Muslims","Married","Not satisfied",5,"Contact","Working class","Employed"
"45","BE","0","0",35,"Muslims","Single","Satisfied",4,"No contact","Working class","Employed"
"46","BE","1","0",47,"Christians","Single","Satisfied",5,"No contact","Working class","Employed"
"47","BE","1","1",37,"Christians","Single","Satisfied",6,"Contact","Working class","Unemployed"
"48","BE","0","0",40,"Christians","Married","Not satisfied",6,"Contact","Middle class","Employed"
"49","BE","0","0",45,"Christians","Married","Satisfied",6,"No contact","Middle class","Employed"
"50","BE","0","0",42,"Christians","Married","Satisfied",5,"No contact","Middle class","Employed"
"51","BE","0","0",39,"Other religions","Married","Not satisfied",6,"Contact","Middle class","Employed"
"52","BE","0","0",37,"Christians","Married","Satisfied",5,"Contact","Middle class","Employed"
"53","BE","0","0",43,"Christians","Married","Satisfied",5,"No contact","Working class","Employed"
"54","BE","0","0",45,"Christians","Married","Satisfied",4,"No contact","Working class","Employed"
"55","BE","0","0",38,"Christians","Married","Not satisfied",6,"No contact","Working class","Employed"
"56","BE","0","1",35,"Christians","Married","Satisfied",6,"No contact","Working class","Employed"
"57","BE","0","1",39,"Other religions","Married","Satisfied",6,"Contact","Middle class","Unemployed"
"58","BE","0","1",35,"Christians","Single","Not satisfied",5,"Contact","Working class","Employed"
"59","BE","0","1",40,"Christians","Married","Satisfied",6,"Contact","Working class","Employed"
"60","BE","0","0",37,"Christians","Married","Satisfied",5,"No contact","Working class","Employed"
"61","BE","0","0",42,"Christians","Married","Satisfied",6,"No contact","Working class","Employed"
"62","BE","0","0",44,"Christians","Single","Satisfied",5,"No contact","Working class","Employed"
"63","BE","0","0",48,"Christians","Married","Satisfied",5,"Contact","Working class","Employed"
"64","BE","0","1",39,"Christians","Single","Not satisfied",5,"No contact","Working class","Unemployed"
"65","BE","1","1",47,"Christians","Single","Satisfied",5,"Contact","Working class","Employed"
"66","BE","0","0",54,"Christians","Single","Satisfied",5,"Contact","Working class","Employed"
"67","BE","0","0",17,"Not religious","Single","Satisfied",7,"Contact","Middle class","Student"
"68","BE","1","0",67,"Christians","Divorced","Satisfied",6,"No contact","Middle class","Retired"
"69","BE","1","1",89,"Christians","Widowed","Satisfied",5,"Contact","Middle class","Retired"
"70","BE","1","0",40,"Not religious","Single","Not satisfied",6,"Contact","Middle class","Unemployed"
"71","BE","0","0",28,"Not religious","Single","Not satisfied",7,"Contact","Working class","Employed"
"72","BE","1","0",36,"Muslims","Married","Satisfied",10,"No contact","Middle class","Employed"
"73","BE","1","1",56,"Christians","Married","Not satisfied",10,"Contact","Middle class","Self employed"
"74","BE","1","0",32,"Christians","Married","Satisfied",6,"Contact","Middle class","Employed"
"75","BE","0","0",17,"Christians","Single","Satisfied",5,"No contact","Working class","Student"
"76","BE","0","1",32,"Christians","Single","Satisfied",8,"Contact","Middle class","Employed"
"77","BE","1","1",72,"Christians","Divorced","Satisfied",8,"Contact","Middle class","Retired"
"78","BE","1","0",46,"Christians","Married","Satisfied",7,"Contact","High class","Self employed"
"79","BE","0","0",52,"Jewish","Single","Satisfied",5,"Contact","Middle class","Employed"
"80","BE","0","1",33,"Christians","Single","Satisfied",7,"Contact","Middle class","Employed"
"81","BE","1","1",71,"Christians","Married","Satisfied",5,"Contact","Middle class","Retired"
"82","BE","1","1",62,"Christians","Married","Satisfied",7,"No contact","Middle class","Retired"
"83","BE","1","1",24,"Not religious","Single","Satisfied",3,"Contact","High class","Student"
"84","BE","1","0",18,"Christians","Single","Satisfied",5,"Contact","Middle class","Student"
"85","BE","1","0",27,"Other religions","Married","Satisfied",8,"Contact","Middle class","Employed"
"86","BE","1","0",51,"Not religious","Married","Not satisfied",6,"Contact","High class","Employed"
"87","BE","1","1",42,"Not religious","Married","Satisfied",7,"No contact","Middle class","Employed"
"88","BE","1","1",61,"Christians","Married","Satisfied",4,"No contact","Middle class","Retired"
"89","BE","1","1",51,"Not religious","Married","Satisfied",6,"No contact","Middle class","Employed"
"90","BE","1","1",76,"Christians","Widowed","Satisfied",5,"No contact","Middle class","Retired"
"91","BE","0","0",43,"Christians","Married","Satisfied",7,"Contact","Middle class","Self employed"
"92","BE","1","1",19,"Not religious","Single","Not satisfied",1,"Contact","Middle class","Student"
"93","BE","1","1",55,"Christians","Divorced","Satisfied",6,"Contact","Middle class","Employed"
"94","BE","1","1",68,"Christians","Single","Not satisfied",5,"Contact","Working class","Retired"
"95","BE","1","1",52,"Christians","Single","Not satisfied",5,"Contact","Working class","Unemployed"
"96","BE","1","0",61,"Not religious","Single","Satisfied",8,"Contact","Middle class","Retired"
"97","BE","1","0",72,"Not religious","Married","Satisfied",8,"Contact","Middle class","Retired"
"98","BE","1","0",28,"Not religious","Single","Satisfied",8,"Contact","Middle class","Employed"
"99","BE","1","1",62,"Christians","Married","Satisfied",7,"Contact","Working class","Retired"
"100","BE","1","1",36,"Not religious","Single","Satisfied",3,"Contact","Middle class","Employed"
"101","BE","1","0",73,"Not religious","Married","Satisfied",3,"Contact","Middle class","Employed"
"102","BE","1","1",68,"Not religious","Married","Satisfied",3,"Contact","High class","Self employed"
"103","BE","1","0",77,"Other religions","Married","Satisfied",5,"No contact","Middle class","Retired"
"104","BE","1","0",49,"Not religious","Married","Satisfied",6,"Contact","Middle class","Employed"
"105","BE","1","0",72,"Christians","Married","Satisfied",6,"Contact","Middle class","Retired"
"106","BE","1","0",65,"Not religious","Married","Satisfied",3,"Contact","Middle class","Retired"
"107","BE","1","0",37,"Muslims","Married","Satisfied",5,"No contact","Working class","Employed"
"108","BE","1","0",72,"Not religious","Married","Satisfied",5,"Contact","Middle class","Retired"
"109","BE","1","1",45,"Christians","Single","Satisfied",5,"Contact","Middle class","Employed"
"110","BE","1","1",47,"Not religious","Single","Satisfied",5,"Contact","Middle class","Employed"
"111","BE","1","1",63,"Christians","Divorced","Satisfied",5,"Contact","Middle class","Unemployed"
"112","BE","1","0",15,"Not religious","Widowed","Not satisfied",3,"Contact","Middle class","Employed"
"113","BE","1","0",52,"Christians","Married","Satisfied",8,"Contact","Middle class","Employed"
"114","BE","1","1",58,"Not religious","Single","Satisfied",1,"Contact","Working class","Unemployed"
"115","BE","1","1",71,"Not religious","Married","Satisfied",5,"No contact","Middle class","Self employed"
"116","BE","1","1",63,"Christians","Widowed","Satisfied",6,"Contact","Middle class","Retired"
"117","BE","1","0",64,"Christians","Married","Satisfied",4,"Contact","Middle class","Retired"
"118","BE","1","0",54,"Christians","Divorced","Not satisfied",7,"Contact","Working class","Employed"
"119","BE","1","1",70,"Christians","Married","Satisfied",8,"No contact","Middle class","Retired"
"120","BE","1","1",32,"Not religious","Single","Satisfied",5,"Contact","Working class","Employed"
"121","BE","1","1",70,"Christians","Divorced","Satisfied",10,"Contact","Middle class","Retired"
"122","BE","1","1",21,"Not religious","Single","Satisfied",3,"Contact","Middle class","Student"
"123","BE","1","0",54,"Not religious","Single","Satisfied",7,"Contact","Middle class","Self employed"
"124","BE","1","1",67,"Christians","Widowed","Satisfied",4,"Contact","Working class","Retired"
"125","BE","1","1",70,"Jewish","Divorced","Not satisfied",5,"Contact","Middle class","Retired"
"126","BE","1","1",43,"Not religious","Single","Satisfied",4,"Contact","High class","Employed"
"127","BE","1","1",70,"Other religions","Single","Not satisfied",2,"No contact","Middle class","Retired"
"128","BE","1","1",68,"Not religious","Single","Satisfied",1,"Contact","Middle class","Retired"
"129","BE","0","1",39,"Christians","Single","Satisfied",4,"Contact","Middle class","Retired"
"130","BE","1","0",40,"Not religious","Single","Satisfied",4,"Contact","Middle class","Employed"
"131","BE","0","0",56,"Other religions","Single","Not satisfied",5,"No contact","Working class","Retired"
"132","BE","1","1",69,"Christians","Single","Satisfied",8,"Contact","Working class","Retired"
"133","BE","1","1",75,"Not religious","Divorced","Satisfied",8,"Contact","Middle class","Retired"
"134","BE","0","0",22,"Muslims","Single","Satisfied",10,"Contact","Middle class","Student"
"135","BE","1","0",56,"Not religious","Divorced","Not satisfied",5,"Contact","Working class","Employed"
"136","BE","0","0",80,"Christians","Married","Satisfied",8,"No contact","Middle class","Retired"
"137","BE","1","1",17,"Other religions","Single","Satisfied",5,"Contact","Working class","Student"
"138","BE","1","0",58,"Christians","Single","Satisfied",3,"Contact","Working class","Employed"
"139","BE","1","1",64,"Christians","Divorced","Not satisfied",3,"Contact","Working class","Unemployed"
"140","BE","1","0",68,"Christians","Married","Satisfied",8,"No contact","Middle class","Retired"
"141","BE","0","0",47,"Not religious","Divorced","Satisfied",10,"No contact","Middle class","Unemployed"
"142","BE","1","1",28,"Christians","Single","Satisfied",6,"Contact","Middle class","Employed"
"143","BE","1","0",22,"Not religious","Single","Satisfied",5,"Contact","Middle class","Student"
"144","BE","1","0",20,"Other religions","Single","Satisfied",7,"Contact","High class","Student"
"145","BE","1","1",44,"Not religious","Single","Not satisfied",5,"Contact","Working class","Employed"
"146","BE","1","1",52,"Christians","Divorced","Satisfied",4,"Contact","Middle class","Employed"
"147","BE","1","0",63,"Not religious","Widowed","Satisfied",5,"Contact","Working class","Employed"
"148","BE","0","0",64,"Christians","Married","Satisfied",7,"Contact","Middle class","Retired"
"149","BE","1","1",64,"Not religious","Widowed","Satisfied",4,"Contact","Working class","Retired"
"150","BE","1","0",70,"Not religious","Married","Satisfied",1,"Contact","Middle class","Retired"
"151","BE","1","0",65,"Not religious","Widowed","Satisfied",6,"Contact","Working class","Retired"
"152","BE","1","1",57,"Christians","Single","Satisfied",7,"Contact","Middle class","Employed"
"153","BE","1","1",55,"Christians","Married","Satisfied",5,"No contact","Middle class","Unemployed"
"154","BE","1","1",63,"Not religious","Divorced","Satisfied",2,"Contact","Middle class","Retired"
"155","BE","0","0",23,"Christians","Single","Satisfied",7,"No contact","Middle class","Student"
"156","BE","1","1",23,"Not religious","Single","Satisfied",3,"Contact","High class","Student"
"157","BE","1","0",65,"Not religious","Married","Satisfied",5,"Contact","Working class","Retired"
"158","BE","1","0",67,"Christians","Divorced","Satisfied",7,"Contact","Working class","Retired"
"159","BE","1","1",66,"Christians","Widowed","Satisfied",6,"Contact","Middle class","Retired"
"160","BE","1","0",55,"Not religious","Married","Satisfied",1,"Contact","Middle class","Employed"
"161","BE","0","0",29,"Christians","Married","Satisfied",6,"Contact","Middle class","Employed"
"162","BE","1","1",24,"Christians","Single","Satisfied",3,"Contact","Middle class","Student"
"163","BE","1","1",36,"Not religious","Single","Satisfied",2,"Contact","Middle class","Unemployed"
"164","BE","1","1",67,"Christians","Married","Satisfied",1,"Contact","Middle class","Retired"
"165","BE",NA,"1",85,"Christians","Widowed","Not satisfied",5,"No contact","Middle class","Retired"
"166","BE","1","0",17,"Not religious","Single","Satisfied",7,"Contact","Middle class","Student"
"167","BE","1","0",49,"Not religious","Single","Satisfied",8,"Contact","High class","Employed"
"168","BE","1","1",54,"Christians","Married","Satisfied",4,"Contact","Middle class","Employed"
"169","BE","1","1",43,"Not religious","Single","Satisfied",6,"Contact","Middle class","Self employed"
"170","BE","1","1",39,"Not religious","Married","Satisfied",5,"Contact","Middle class","Unemployed"
"171","BE","0","0",75,"Christians","Married","Satisfied",3,"No contact","Middle class","Retired"
"172","BE","1","0",64,"Christians","Single","Satisfied",5,"Contact","Working class","Retired"
"173","BE","1","1",67,"Not religious","Divorced","Satisfied",10,"Contact","Middle class","Retired"
"174","BE","1","1",38,"Not religious","Single","Not satisfied",1,"Contact","Working class","Retired"
"175","BE","1","0",54,"Christians","Divorced","Satisfied",6,"No contact","Middle class","Employed"
"176","BE","1","1",73,"Not religious","Widowed","Satisfied",3,"No contact","Middle class","Retired"
"177","BE","1","1",52,"Not religious","Divorced","Satisfied",7,"Contact","Working class","Retired"
"178","BE","1","1",63,"Not religious","Single","Satisfied",3,"Contact","Working class","Retired"
"179","BE","1","1",53,"Not religious","Married","Satisfied",1,"Contact","Middle class","Self employed"
"180","BE","1","1",81,"Christians","Widowed","Satisfied",5,"No contact","Working class","Retired"
"181","BE","1","0",41,"Muslims","Married","Satisfied",4,"No contact","Working class","Employed"
"182","BE","1","1",61,"Christians","Widowed","Satisfied",6,"Contact","Working class","Retired"
"183","BE","1","1",47,"Christians","Married","Satisfied",6,"Contact","Working class","Employed"
"184","BE","1","0",84,"Christians","Widowed","Satisfied",5,"No contact","Middle class","Retired"
"185","BE","1","0",76,"Christians","Married","Satisfied",5,"Contact","Working class","Retired"
"186","BE","1","0",83,"Christians","Married","Satisfied",7,"No contact","Middle class","Retired"
"187","BE","1","0",71,"Not religious","Married","Satisfied",5,"No contact","Middle class","Retired"
"188","BE","1","0",72,"Christians","Married","Satisfied",4,"No contact","Working class","Retired"
"189","BE","1","0",84,"Christians","Married","Satisfied",6,"No contact","Middle class","Retired"
"190","BE","1","0",75,"Christians","Married","Satisfied",5,"No contact","Middle class","Retired"
"191","BE","1","1",79,"Christians","Married","Satisfied",5,"No contact","Middle class","Retired"
"192","BE","0","0",36,"Christians","Divorced","Satisfied",8,"Contact","Working class","Self employed"
"193","BE","1","0",25,"Other religions","Single","Satisfied",5,"No contact","Middle class","Employed"
"194","BE","1","0",86,"Other religions","Divorced","Satisfied",7,"No contact","Middle class","Retired"
"195","BE","1","1",42,"Not religious","Single","Satisfied",1,"Contact","Working class","Retired"
"196","BE","1","0",62,"Muslims","Single","Satisfied",1,"Contact","Middle class","Employed"
"197","BE","0","0",47,"Muslims","Single","Satisfied",1,"Contact","Working class","Self employed"
"198","BE","0","0",41,"Not religious","Divorced","Satisfied",6,"Contact","Working class","Unemployed"
"199","BE","1","1",38,"Other religions","Single","Satisfied",3,"Contact","Working class","Retired"
"200","BE","1","1",47,"Not religious","Divorced","Satisfied",3,"Contact","High class","Employed"
"201","BE","1","0",79,"Christians","Widowed","Satisfied",5,"No contact","Working class","Retired"
"202","BE","1","0",78,"Christians","Married","Satisfied",3,"Contact","Middle class","Retired"
"203","BE","1","0",70,"Christians","Married","Satisfied",5,"Contact","High class","Retired"
"204","BE","1","0",60,"Not religious","Married","Satisfied",5,"Contact","High class","Employed"
"205","BE","1","1",60,"Not religious","Divorced","Satisfied",5,"Contact","Middle class","Unemployed"
"206","BE","1","0",70,"Christians","Married","Satisfied",8,"Contact","Middle class","Retired"
"207","BE","1","0",81,"Not religious","Married","Satisfied",7,"Contact","Middle class","Employed"
"208","BE","0","0",18,"Muslims","Married","Satisfied",6,"Contact","High class","Student"
"209","BE","1","1",60,"Christians","Married","Satisfied",8,"No contact","Middle class","Unemployed"
"210","BE","1","0",62,"Christians","Married","Satisfied",5,"Contact","Middle class","Retired"
"211","BE","0","0",18,"Not religious","Married","Satisfied",6,"Contact","Middle class","Student"
"212","BE","1","1",39,"Not religious","Married","Satisfied",3,"Contact","High class","Employed"
"213","BE","1","0",74,"Not religious","Single","Not satisfied",7,"No contact","High class","Retired"
"214","BE","1","0",16,"Not religious","Married","Satisfied",5,"Contact","Middle class","Student"
"215","BE","1","0",20,"Not religious","Other","Satisfied",5,"Contact","Middle class","Student"
"216","BE","1","1",46,"Not religious","Married","Satisfied",3,"Contact","Middle class","Employed"
"217","BE","0","0",50,"Christians","Single","Satisfied",10,"Contact","Middle class","Employed"
"218","BE","1","1",63,"Christians","Married","Satisfied",7,"Contact","Working class","Self employed"
"219","BE","1","0",57,"Christians","Married","Satisfied",1,"Contact","Middle class","Employed"
"220","BE","1","1",31,"Not religious","Married","Satisfied",5,"Contact","Middle class","Employed"
"221","BE","1","0",61,"Christians","Married","Satisfied",8,"No contact","Middle class","Self employed"
"222","BE","1","1",52,"Christians","Married","Satisfied",5,"Contact","Working class","Self employed"
"223","BE","1","0",62,"Christians","Married","Satisfied",8,"Contact","Working class","Retired"
"224","BE","1","1",34,"Christians","Married","Satisfied",5,"Contact","Middle class","Employed"
"225","BE","1","1",66,"Christians","Married","Satisfied",6,"Contact","Middle class","Retired"
"226","BE","1","1",58,"Not religious","Single","Satisfied",5,"Contact","Middle class","Employed"
"227","BE","0","0",27,"Christians","Single","Satisfied",5,"No contact","Middle class","Employed"
"228","BE","1","1",56,"Christians","Married","Satisfied",5,"Contact","Middle class","Employed"
"229","BE",NA,"0",65,"Christians","Married","Satisfied",5,"Contact","Middle class","Retired"
"230","BE","1","0",46,"Christians","Married","Satisfied",5,"Contact","Middle class","Employed"
"231","BE","1","1",57,"Not religious","Married","Satisfied",5,"Contact","High class","Retired"
"232","BE","1","0",60,"Christians","Married","Satisfied",6,"Contact","Middle class","Retired"
"233","BE","1","0",36,"Christians","Married","Satisfied",5,"No contact","Working class","Employed"
"234","BE","1","1",79,"Christians","Widowed","Satisfied",9,"No contact","Working class","Retired"
"235","BE","1","1",81,"Christians","Widowed","Satisfied",7,"Contact","Middle class","Retired"
"236","BE","1","1",66,"Christians","Married","Satisfied",5,"No contact","Working class","Retired"
"237","BE","1","1",37,"Christians","Divorced","Satisfied",8,"No contact","Working class","Employed"
"238","BE","1","0",48,"Muslims","Single","Not satisfied",4,"No contact","Working class","Unemployed"
"239","BE","0","1",56,"Not religious","Single","Not satisfied",10,"Contact","Working class","Unemployed"
"240","BE","1","0",23,"Not religious","Other","Satisfied",1,"Contact","Working class","Student"
"241","BE","1","1",29,"Not religious","Single","Satisfied",3,"Contact","Middle class","Employed"
"242","BE","0","1",57,"Other religions","Single","Not satisfied",6,"Contact","Working class","Employed"
"243","BE","1","0",70,"Not religious","Single","Satisfied",8,"Contact","Middle class","Retired"
"244","BE","0","1",37,"Christians","Single","Not satisfied",7,"No contact","Working class","Employed"
"245","BE","1","0",79,"Christians","Divorced","Satisfied",10,"Contact","Middle class","Retired"
"246","BE","1","1",59,"Christians","Married","Satisfied",5,"Contact","Working class","Unemployed"
"247","BE","1","0",57,"Christians","Widowed","Not satisfied",10,"Contact","Working class","Unemployed"
"248","BE","1","1",46,"Christians","Married","Satisfied",4,"Contact","Middle class","Employed"
"249","BE","1","1",57,"Christians","Married","Satisfied",8,"Contact","Working class","Self employed"
"250","BE","1","1",66,"Christians","Single","Satisfied",5,"No contact","Middle class","Retired"
"251","BE","1","1",66,"Christians","Married","Satisfied",5,"No contact","Middle class","Unemployed"
"252","BE","1","1",86,"Christians","Widowed","Not satisfied",5,"Contact","Working class","Retired"
"253","BE","1","0",37,"Not religious","Single","Not satisfied",5,"Contact","Middle class","Employed"
"254","BE","1","0",37,"Not religious","Single","Satisfied",7,"Contact","Working class","Employed"
"255","BE","1","0",56,"Not religious","Single","Satisfied",4,"Contact","Middle class","Employed"
"256","BE","1","0",81,"Christians","Single","Satisfied",7,"No contact","Middle class","Retired"
"257","BE","1","1",77,"Christians","Widowed","Satisfied",5,"No contact","Working class","Retired"
"258","BE","1","0",47,"Not religious","Single","Satisfied",7,"Contact","Middle class","Employed"
"259","BE","1","0",71,"Christians","Single","Satisfied",6,"No contact","Middle class","Retired"
"260","BE","1","0",62,"Not religious","Divorced","Satisfied",1,"Contact","Working class","Retired"
"261","BE","1","1",63,"Christians","Married","Satisfied",5,"No contact","Working class","Retired"
"262","BE","0","0",80,"Muslims","Married","Satisfied",1,"No contact","Working class","Retired"
"263","BE","1","0",44,"Christians","Single","Satisfied",4,"No contact","Working class","Employed"
"264","BE","0","1",17,"Muslims","Single","Satisfied",6,"Contact","Middle class","Student"
"265","BE","0","0",63,"Christians","Married","Satisfied",8,"No contact","Working class","Retired"
"266","BE","0","0",71,"Christians","Widowed","Satisfied",8,"No contact","Middle class","Retired"
"267","BE","0","1",48,"Christians","Single","Satisfied",7,"Contact","Middle class","Employed"
"268","BE","1","1",24,"Christians","Single","Satisfied",7,"Contact","Middle class","Employed"
"269","BE","0","1",39,"Muslims","Married","Satisfied",7,"No contact","Working class","Employed"
"270","BE","0","0",44,"Christians","Married","Satisfied",3,"Contact","Middle class","Self employed"
"271","BE","0","0",23,"Muslims","Single","Satisfied",4,"No contact","Middle class","Employed"
"272","BE","0","0",33,"Christians","Single","Satisfied",5,"No contact","Middle class","Employed"
"273","BE","1","0",62,"Christians","Married","Satisfied",3,"No contact","Middle class","Retired"
"274","BE","0","0",47,"Muslims","Married","Satisfied",4,"No contact","Working class","Employed"
"275","BE","0","0",39,"Christians","Married","Satisfied",8,"No contact","Middle class","Employed"
"276","BE","1","1",84,"Christians","Single","Satisfied",5,"No contact","Working class","Retired"
"277","BE","0","0",40,"Christians","Married","Satisfied",8,"Contact","Middle class","Employed"
"278","BE","1","1",64,"Not religious","Married","Satisfied",6,"Contact","Working class","Unemployed"
"279","BE","1","0",75,"Not religious","Married","Satisfied",6,"Contact","High class","Retired"
"280","BE","1","0",80,"Christians","Married","Satisfied",10,"No contact","High class","Retired"
"281","BE","1","1",42,"Not religious","Single","Satisfied",3,"Contact","Middle class","Employed"
"282","BE","1","0",55,"Christians","Married","Satisfied",6,"Contact","Working class","Retired"
"283","BE","0","0",64,"Christians","Divorced","Satisfied",6,"No contact","Middle class","Retired"
"284","BE","0","0",62,"Not religious","Married","Satisfied",6,"No contact","Middle class","Self employed"
"285","BE","1","0",81,"Christians","Married","Satisfied",5,"No contact","Working class","Retired"
"286","BE","1","1",58,"Christians","Married","Satisfied",4,"No contact","Middle class","Employed"
"287","BE","1","0",72,"Christians","Married","Satisfied",5,"No contact","High class","Retired"
"288","BE","1","1",69,"Christians","Married","Satisfied",4,"No contact","Middle class","Retired"
"289","BE","1","0",68,"Not religious","Married","Satisfied",5,"Contact","Middle class","Retired"
"290","BE","0","1",54,"Christians","Single","Satisfied",5,"Contact","Working class","Unemployed"
"291","BE","1","0",76,"Christians","Married","Satisfied",5,"Contact","Working class","Retired"
"292","BE","1","1",19,"Not religious","Single","Satisfied",7,"Contact","Middle class","Student"
"293","BE","1","1",37,"Christians","Single","Satisfied",5,"Contact","Middle class","Employed"
"294","BE","1","0",70,"Not religious","Single","Satisfied",10,"Contact","Middle class","Retired"
"295","BE","0","0",83,"Christians","Married","Satisfied",9,"No contact","Working class","Retired"
"296","BE","1","1",82,"Christians","Widowed","Satisfied",8,"No contact","Middle class","Employed"
"297","BE","1","1",67,"Christians","Widowed","Satisfied",5,"Contact","Middle class","Retired"
"298","BE","1","0",71,"Christians","Married","Satisfied",4,"No contact","Working class","Retired"
"299","BE","1","0",64,"Not religious","Divorced","Not satisfied",6,"Contact","Working class","Retired"
"300","BE","1","0",66,"Christians","Married","Satisfied",10,"Contact","Working class","Retired"
"301","BE","1","0",61,"Other religions","Divorced","Satisfied",1,"No contact","Working class","Employed"
"302","BE","1","0",65,"Christians","Married","Satisfied",5,"Contact","Middle class","Retired"
"303","BE","1","1",69,"Christians","Married","Satisfied",5,"No contact","Middle class","Retired"
"304","BE","1","1",39,"Not religious","Divorced","Satisfied",1,"Contact","Working class","Employed"
"305","BE","1","1",71,"Christians","Divorced","Satisfied",8,"Contact","Middle class","Retired"
"306","BE","1","1",65,"Christians","Married","Satisfied",5,"No contact","Middle class","Retired"
"307","BE","1","1",64,"Christians","Divorced","Satisfied",2,"Contact","Middle class","Unemployed"
"308","BE","0","1",68,"Not religious","Divorced","Satisfied",7,"No contact","Middle class","Retired"
"309","BE","1","1",47,"Christians","Divorced","Satisfied",5,"No contact","Working class","Employed"
"310","BE","1","1",16,"Christians","Widowed","Satisfied",5,"Contact","Middle class","Student"
"311","BE","1","0",74,"Christians","Married","Satisfied",5,"Contact","Middle class","Retired"
"312","BE","1","1",37,"Christians","Married","Satisfied",5,"Contact","High class","Employed"
"313","BE","1","0",71,"Christians","Married","Satisfied",6,"No contact","Middle class","Retired"
"314","BE","1","1",43,"Christians","Single","Satisfied",4,"Contact","Middle class","Employed"
"315","BE","1","1",58,"Not religious","Single","Satisfied",3,"Contact","Middle class","Employed"
"316","BE","1","0",67,"Christians","Widowed","Satisfied",4,"Contact","Middle class","Retired"
"317","BE","1","0",61,"Christians","Married","Satisfied",7,"No contact","Middle class","Retired"
"318","BE","1","0",52,"Christians","Single","Satisfied",6,"No contact","High class","Employed"
